Job Title,Company,Location,Match Score,Match Status,Missing Skills,Resources,Job Link
Data Scientist,Tech Mahindra,"Noida, Uttar Pradesh",0.9,Good Fit,,,https://careers.techmahindra.com/job/data-scientist-noida
Senior Data Scientist,Adobe,"Noida, Uttar Pradesh",0.8,Good Fit,Solid statistical background,https://www.coursera.org/learn/statistical-inferences | https://towardsdatascience.com/statistics-for-data-science-an-in-depth-tutorial-edb37886e580 | https://www.youtube.com/watch?v=Vfo5le26IhY,https://adobe.wd5.myworkdayjobs.com/en-US/external_experienced/job/Noida/Senior-Data-Scientist
Data Scientist - Machine Learning,HCL Technologies,"Noida, Uttar Pradesh",0.95,Good Fit,,,https://www.hcltech.com/careers/data-scientist-machine-learning
Junior Data Scientist,Cognizant,"Noida, Uttar Pradesh",0.7,Partial Fit,Entry-level position for fresh graduates,https://www.coursera.org/specializations/starterkitdata | https://www.kaggle.com/learn/intro-to-programming | https://towardsdatascience.com/basics-of-data-science-for-beginners-415da0f017a2,https://careers.cognizant.com/job/junior-data-scientist-noida
Data Scientist,Accenture,"Noida, Uttar Pradesh",0.85,Good Fit,,,https://www.accenture.com/in-en/careers/jobdetails?id=Data-Scientist-Noida
Lead Data Scientist,Infosys,"Noida, Uttar Pradesh",0.85,Good Fit,Advanced knowledge in AI and statistical tools,https://www.udacity.com/course/ai-for-everyone--ud140 | https://www.coursera.org/specializations/deep-learning | https://www.kdnuggets.com/2019/11/massive-list-ai-resources-learn.html,https://career.infosys.com/lead-data-scientist/noida
Data Scientist - NLP,Wipro,"Noida, Uttar Pradesh",0.9,Good Fit,,,https://careers.wipro.com/data-scientist-nlp
Data Scientist - Financial Services,Genpact,"Noida, Uttar Pradesh",0.75,Partial Fit,Experience in financial data modeling and risk analysis,https://www.coursera.org/specializations/financial-aid-single-variate-risk | https://towardsdatascience.com/financial-data-analysis-python-francesk-vs | https://www.udemy.com/course/financial-risk-management-practice-exams,https://careers.genpact.com/data-scientist-financial-services-noida
Data Analytics Consultant,IBM,"Noida, Uttar Pradesh",0.8,Good Fit,Experience in data visualization,https://www.tableau.com/learn/training | https://www.coursera.org/specializations/data-visualization | https://towardsdatascience.com/data-visualization-with-python-and-seaborn-29f124bb5a56,https://careers.ibm.com/job/data-analytics-consultant-noida
Data Scientist - Customer Insights,Samsung,"Noida, Uttar Pradesh",0.85,Good Fit,,,https://careers.samsung.com/data-scientist-customer-insights-noida
